,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
1629,QxT:PC71BM-DIO,4.2,,0.7,,9.14,,65.0,"(65.0, None)"
1630,N/A,3.17,,0.63,,11.14,,45.1,"(45.1, None)"
1631,N/A,10.12,,1.31,,11.027,,70.08,"(70.08, None)"
1632,PM6:PN1,10.5,,1.0,,15.2,,69.0,"(69.0, None)"
1633,Mixed-ion perovskite,9.0,,0.93,,15.9,,60.0,"(60.0, None)"
1634,Mixed-ion perovskite,15.1,,0.97,,23.4,,67.0,"(67.0, None)"
1635,P3HT:PCBM:CdS,2.95,0.1,0.63,,8.5,,54.97,"(54.97, None)"
1636,P3HT:PCBM:CdS,3.66,0.05,0.65,,9.2,,60.18,"(60.18, None)"
1637,P3HT:PCBM:CdS,4.41,0.03,0.64,,10.8,,63.59,"(63.59, None)"
1638,PTZ51,3.62,,0.82,,10.83,,41.0,"(41.0, None)"
1639,PTZ52,17.27,,1.05,,22.27,,73.0,"(73.0, None)"
1640,PTZ53,10.01,,0.95,,16.28,,64.0,"(64.0, None)"
1641,D1:PCBM,1.6,,0.842,,4.5,,41.0,"(41.0, None)"
1642,(D1:D2):PCBM,2.0,,0.86,,5.7,,40.0,"(40.0, None)"
1643,D2:PCBM,1.3,,0.735,,4.9,,36.0,"(36.0, None)"
1644,AgNW,4.45,0.14,0.58,0.01,12.47,0.24,61.86,"(61.86, 2.17)"
1645,AgNW–TiOx,4.69,0.05,0.58,0.01,13.32,0.04,61.23,"(61.23, 0.41)"
1646,AgNW–TiOx,4.98,0.11,0.58,0.01,13.91,0.93,61.49,"(61.49, 2.28)"
1647,ITO,3.43,0.07,0.58,0.01,10.95,0.06,54.41,"(54.41, 1.0)"
1648,P3HT and PC61BM,3.71,,0.58,,9.51,,67.33,"(67.33, None)"
1649,D-OEG:BDT,1.03,,1.08,,2.83,,33.6,"(33.6, None)"
1650,PT-Pc,0.41,,0.67,,1.79,,34.0,"(34.0, None)"
1651,PT-1,0.32,,0.68,,1.46,,33.0,"(33.0, None)"
1652,PPV-3,2.22,,0.85,,4.25,,62.0,"(62.0, None)"
1653,PPV-Pc,0.77,,0.66,,3.36,,35.0,"(35.0, None)"
1654,1/PC61BM,1.1,,1.04,,3.21,,33.0,"(33.0, None)"
1655,2/PC61BM,1.0,,1.15,,2.87,,28.999999999999996,"(28.999999999999996, None)"
1656,3/PC61BM,2.3,,1.11,,5.53,,38.0,"(38.0, None)"
1657,4/PC61BM,2.1,,1.1,,5.5,,36.0,"(36.0, None)"
1658,4/PC61BM,2.8,,1.13,,6.3,,39.0,"(39.0, None)"
1659,4/PC61BM,2.5,,1.1,,5.97,,39.0,"(39.0, None)"
1660,4/PC71BM,3.7,,1.08,,8.42,,41.0,"(41.0, None)"
1661,P3HT/PC61BM,3.7,,0.65,,8.38,,67.0,"(67.0, None)"
1662,PbSe NC films,1.62,,0.38,,10.62,,40.0,"(40.0, None)"
1663,PbSe NC films,2.9,,0.56,,11.51,,45.0,"(45.0, None)"
1664,CH3NH3PbI3 perovskite film,20.81,,1.148,,23.21,,78.10000000000001,"(78.10000000000001, None)"
1665,N/A,23.6,,1.16,,25.27,,80.59,"(80.59, None)"
1666,CH3NH3PbI3−XClX,13.0,,1.08,,17.2,,70.0,"(70.0, None)"
1667,PFBTZNT:m-ITIC,11.02,,0.91,,17.63,,68.72,"(68.72, None)"
1668,P1,7.03,,0.87,,11.52,,70.0,"(70.0, None)"
1669,5-CdS/ZNRs,0.55,,0.48,,2.58,,49.0,"(49.0, None)"
1670,7-CdS/ZNRs,0.4,,0.46,,1.57,,53.0,"(53.0, None)"
1671,Pt-sputtered,8.18,,0.7633300000000001,,16.8,,63.84,"(63.84, None)"
1672,NiO-NP–RGO,7.42,,0.7633300000000001,,15.57,,62.4,"(62.4, None)"
1673,RGO,5.18,,0.7675,,15.26,,44.27,"(44.27, None)"
1674,GO,4.48,,0.775,,14.37,,40.18,"(40.18, None)"
1675,NiO,1.53,,0.755,,6.48,,31.31,"(31.31, None)"
1676,PTTzF,18.01,,0.855,,26.84,,76.1,"(76.1, None)"
1677,PTTzF,17.3,,0.843,,26.63,,73.5,"(73.5, None)"
1678,PTTzF,17.3,,0.855,,26.73,,75.7,"(75.7, None)"
1679,PTTzF,18.01,,0.847,,27.52,,77.3,"(77.3, None)"
1680,PM6,17.28,,0.838,,27.34,,75.5,"(75.5, None)"
1681,ALD-Al2O3@60 °C,12.4,,1.038,,18.19,,66.4,"(66.4, None)"
1682,Reference (non-encapsulated),6.5,,1.0,,19.28,,34.2,"(34.2, None)"
1683,Without,16.86,,1.147,,21.35,,68.46,"(68.46, None)"
1684,EAI,16.82,,1.16,,20.84,,69.65,"(69.65, None)"
1685,PEAI,13.94,,1.166,,19.19,,62.35,"(62.35, None)"
1686,PMAI,17.61,,1.164,,21.22,,71.29,"(71.29, None)"
1687,PdPt,2.22,,0.63,,9.52,,37.0,"(37.0, None)"
1688,(ClPEA)2MA3Pb4I13,11.0,,1.01,,15.456,,71.0,"(71.0, None)"
1689,PbS,3.48,,0.56,,11.2,,55.00000000000001,"(55.00000000000001, None)"
1690,ZnPc-5,14.36,,0.93,,20.6,,66.06,"(66.06, None)"
1691,ZnPc-2,12.66,,0.93,,20.58,,66.06,"(66.06, None)"
1692,MAPbI3,20.43,,1.2,,22.1,,77.0,"(77.0, None)"
1693,Control,16.85,,1.044,,22.04,,73.0,"(73.0, None)"
1694,Bpy-1%,18.61,,1.061,,23.01,,76.0,"(76.0, None)"
1695,Tpy-0.2%,18.21,,1.05,,22.95,,76.0,"(76.0, None)"
1696,PTN-Br,17.44,,1.023,,21.89,,77.88,"(77.88, None)"
1697,PBT1-C:SePTTT-2F,12.24,,0.895,,18.02,,75.9,"(75.9, None)"
1698,PBT1-C:SePTT-2F,10.9,,0.83,,17.51,,75.0,"(75.0, None)"
1699,BTT-BTD-2 with PC61BM,0.74,,0.69,,2.0,,37.0,"(37.0, None)"
1700,BTT-BTD-2 with PC71BM,1.36,,0.72,,2.0,,46.0,"(46.0, None)"
1701,PM6:Y6:BTP-M (20%),17.03,,0.879,,26.56,,73.46,"(73.46, None)"
1702,PBDTTT-EF-T/N2200/PCDTBT,6.65,,0.79,,14.4,,58.3,"(58.3, None)"
1703,PBDTTT-EF-T/N2200,5.7,,0.806,,12.4,,56.8,"(56.8, None)"
1704,PCDTBT/N2200,0.77,,0.97,,2.0,,39.7,"(39.7, None)"
1705,Pristine,9.12,,0.93,,15.79,,63.0,"(63.0, None)"
1706,Pristine,9.55,,0.93,,16.02,,65.0,"(65.0, None)"
1707,PAS 1,9.69,,0.93,,16.54,,64.0,"(64.0, None)"
1708,D1,0.47,,0.47,,0.67,,50.0,"(50.0, None)"
1709,D2,1.03,,1.03,,1.45,,53.0,"(53.0, None)"
1710,Cd(SSe),0.57,,0.782,,0.454,,49.0,"(49.0, None)"
1711,PBT-Cl:IT-4F,11.6,,0.782,,21.03,,70.0,"(70.0, None)"
1712,P3HT:ZY-4Cl,9.6,,0.89,,16.5,,65.4,"(65.4, None)"
1713,PClBDT-BT,5.54,,0.84,,12.04,,52.88,"(52.88, None)"
1714,PClBDT-TBT,13.04,,0.81,,23.72,,67.63,"(67.63, None)"
1715,PClBDT-DTBT,11.12,,0.74,,23.88,,62.94,"(62.94, None)"
1716,PEDOT:PSS (Clevios PVP AI 4083),13.53,,0.98,,19.15,,72.1,"(72.1, None)"
1717,PTAA,15.67,,1.05,,20.15,,74.1,"(74.1, None)"
1718,PEDOT:PSS (PH 1000),12.14,,0.96,,18.22,,69.4,"(69.4, None)"
1719,PTAA,14.23,,1.02,,19.88,,70.2,"(70.2, None)"
1720,D18:N3,17.52,,0.834,,27.79,,75.61,"(75.61, None)"
1721,P1,0.45,,0.61,,2.18,,34.1,"(34.1, None)"
1722,PM6:PY-DT,16.5,,0.964,,23.2,,72.8,"(72.8, None)"
1723,PM6:PY-DT,15.8,,0.962,,23.1,,70.3,"(70.3, None)"
1724,PM6:PY-DT,16.5,,0.96,,23.2,,70.8,"(70.8, None)"
1725,N(Ph-2T-DCN-Me)3,4.72,,0.98,,8.87,,54.3,"(54.3, None)"
1726,N(Ph-2T-DCN-Hex)3,3.41,,0.98,,8.07,,43.1,"(43.1, None)"
1727,N(Ph-3T-DCN-Hex)3,3.96,,0.93,,8.51,,50.0,"(50.0, None)"
1728,MAPbI3,18.85,,1.12,,22.35,,75.4,"(75.4, None)"
1729,MAPbI2.4Br0.6,10.64,,0.89,,16.3,,75.0,"(75.0, None)"
1730,MAPbI2.4Br0.6,12.39,,0.89,,17.07,,81.0,"(81.0, None)"
1731,CsPbI3,16.83,,1.012,,20.05,,72.48,"(72.48, None)"
1732,PbS quantum dot,2.48,,0.6,,9.3,,45.0,"(45.0, None)"
1733,N/A,3.48,,0.6,,12.8,,55.00000000000001,"(55.00000000000001, None)"
1734,PBDB-T:IDT-IC,6.11,,0.88,,11.94,,57.9,"(57.9, None)"
1735,PBDB-T:IDT-HN,10.22,,0.93,,14.43,,76.41,"(76.41, None)"
1736,Carbon Quantum Dots,0.3,,0.51,,0.92,,63.95,"(63.95, None)"
1737,0.125% Nitrogen-doped Carbon Quantum Dots,0.42,,0.53,,1.22,,64.92,"(64.92, None)"
1738,0.25% Nitrogen-doped Carbon Quantum Dots,0.56,,0.54,,1.6,,64.81,"(64.81, None)"
1739,0.50% Nitrogen-doped Carbon Quantum Dots,0.44,,0.53,,1.28,,64.85,"(64.85, None)"
1740,P3HT:PC71BM,4.8,,0.88,,11.0,,70.0,"(70.0, None)"
1741,PCDTBT:PC71BM,6.8,,0.92,,12.5,,62.0,"(62.0, None)"
1742,P3HT:ICBA,7.13,,0.84,,10.1,,69.0,"(69.0, None)"
1743,TPC,4.3,,0.96,,9.2,,49.0,"(49.0, None)"
1744,TPSi,4.2,,0.94,,8.5,,53.0,"(53.0, None)"
1745,TPGe,1.6,,0.92,,5.0,,37.0,"(37.0, None)"
1746,PBT-SF:IT-4F,7.76,,0.8,,17.48,,60.6,"(60.6, None)"
1747,PBT-F:IT-4F,9.14,,0.78,,21.57,,54.50000000000001,"(54.50000000000001, None)"
1748,SJ-IC,5.84,,0.743,,14.22,,42.699999999999996,"(42.699999999999996, None)"
1749,ITVfIC,8.91,,0.843,,18.92,,59.5,"(59.5, None)"
1750,ITVffIC,9.72,,0.897,,20.11,,57.099999999999994,"(57.099999999999994, None)"
1751,ITVT,7.1,,0.793,,11.72,,63.0,"(63.0, None)"
1752,ITTIC,9.8,,0.843,,16.0,,70.0,"(70.0, None)"
1753,ITIC-Th-O,10.5,,0.843,,18.0,,70.0,"(70.0, None)"
1754,ITIC-Th-S,11.2,,0.843,,20.0,,70.0,"(70.0, None)"
1755,IHIC,12.1,,0.843,,22.0,,70.0,"(70.0, None)"
1756,4TIC,12.5,,0.843,,24.0,,70.0,"(70.0, None)"
1757,6TIC,12.9,,0.843,,26.0,,70.0,"(70.0, None)"
1758,PAS-WIO,5.52,,0.75,,15.02,,48.0,"(48.0, None)"
1759,4-Layer FLG/CH3(Pt)–SiNW array,6.85,,0.48,,23.5,,60.699999999999996,"(60.699999999999996, None)"
1760,4-Layer FLG/CH3(Pt)–SiNH array,7.65,,0.44,,38.65,,44.1,"(44.1, None)"
1761,CH3NH3PbI3,12.2,,1.07,,18.0,,68.0,"(68.0, None)"
1762,Metal Halide Perovskite (MHP),16.34,,1.07,,21.43,,71.25,"(71.25, None)"
1763,SnSe,0.06,,0.5,,5.0,,30.0,"(30.0, None)"
1764,N/A,14.2,,1.01,,21.24,,65.9,"(65.9, None)"
1765,CH3NH3PbI3,15.01,,0.97,0.05,21.0,2.0,70.0,"(70.0, 2.0)"
1766,Binary slot-die coating systems,13.2,,0.87,,21.3,,68.5,"(68.5, None)"
1767,p-ZnSe/n-CdS core-shell heterojunction,5.27,,1.3,,9.86,,28.999999999999996,"(28.999999999999996, None)"
1768,MAPb(I1−xBrx)3,17.89,,1.046,,22.5,,76.0,"(76.0, None)"
1769,(FAPbI3)0.85(MAPbBr3)0.15,17.89,,1.046,,22.5,,76.0,"(76.0, None)"
1770,FASnI3,10.76,,0.6,,23.21,,76.57,"(76.57, None)"
1771,"BDTT-S-TRS:PC71BM (1:0.8, w/w)",8.07,,0.87,,13.14,,70.5,"(70.5, None)"
1772,"BDTT-S-TRS:PC71BM (1:0.8, w/w) with CF SVA treatment for 15 s",7.03,,0.88,,11.31,,71.0,"(71.0, None)"
1773,"BDTT-S-TRS:PC71BM (1:0.8, w/w) with CF SVA treatment for 15 s (using PFN instead of calcium as a cathode interlayer)",7.96,,0.87,,13.73,,67.5,"(67.5, None)"
1774,"BDTT-S-TRS:PC71BM (1:0.8, w/w) with THF SVA treatment for 60 s",6.23,,0.79,,11.24,,69.9,"(69.9, None)"
1775,"BDTT-S-TRS:PC71BM (1:0.8, w/w) with CB SVA treatment for 60 s",5.33,,0.79,,10.65,,63.6,"(63.6, None)"
1776,NP (Nanoparticles),1.59,,0.562,,4.99,,56.99999999999999,"(56.99999999999999, None)"
1777,NP (Nanoparticles),2.07,,0.647,,4.95,,64.0,"(64.0, None)"
1778,NP (Nanoparticles),1.82,,0.736,,3.95,,62.0,"(62.0, None)"
1779,NP (Nanoparticles),0.56,,0.777,,1.45,,64.0,"(64.0, None)"
1780,TF (Thin Films),0.31,,0.562,,1.34,,42.0,"(42.0, None)"
1781,TF (Thin Films),0.45,,0.63,,1.42,,51.0,"(51.0, None)"
1782,TF (Thin Films),0.26,,0.689,,0.79,,47.0,"(47.0, None)"
1783,TF (Thin Films),0.13,,0.76,,0.27,,62.0,"(62.0, None)"
1784,CS (Combination of NP and TF),2.04,,0.626,,7.47,,43.0,"(43.0, None)"
1785,CS (Combination of NP and TF),2.53,,0.643,,7.69,,51.0,"(51.0, None)"
1786,CS (Combination of NP and TF),2.36,,0.666,,6.71,,53.0,"(53.0, None)"
1787,CS (Combination of NP and TF),2.04,,0.717,,4.77,,59.0,"(59.0, None)"
1788,TaS2,3.06,,0.61,,7.87,,64.0,"(64.0, None)"
1789,MA-free perovskite,20.17,,1.11,,22.88,,80.0,"(80.0, None)"
1790,PBDTNTDO-C1,1.96,,0.87,,4.42,,50.8,"(50.8, None)"
1791,PBDTNTDO-C3,2.21,,0.81,,4.93,,55.2,"(55.2, None)"
1792,Pristine,18.35,,1.1,,22.89,,72.97,"(72.97, None)"
1793,PiP 100 °C,19.07,,1.09,,23.79,,73.71,"(73.71, None)"
1794,PiP 150 °C,20.52,,1.13,,23.57,,77.19,"(77.19, None)"
1795,PiP 180 °C,19.31,,1.1,,23.83,,73.71,"(73.71, None)"
1796,CsPbI2Br,12.18,,1.217,,14.13,,68.10000000000001,"(68.10000000000001, None)"
1797,CsPbI2Br passivated with PEAI,13.27,,1.244,,14.24,,72.0,"(72.0, None)"
1798,CsPbI2Br passivated with PEABr,13.51,,1.254,,14.43,,72.6,"(72.6, None)"
1799,CsPbI2Br passivated with P-F-PEAI,13.89,,1.261,,14.55,,74.0,"(74.0, None)"
1800,CsPbI2Br passivated with P-F-PEABr,13.97,,1.269,,14.61,,73.8,"(73.8, None)"
1801,PTBTBDT,2.12,,0.72,,5.45,,54.0,"(54.0, None)"
1802,PNDIBS (55 kDa),9.28,,0.85,,17.94,,61.0,"(61.0, None)"
1803,PBDB-T/PC71BM/IDT-OT,9.09,,0.869,,15.35,,68.1,"(68.1, None)"
1804,PBDB-T/PC71BM,7.78,,0.826,,14.1,,66.8,"(66.8, None)"
1805,PBDB-T/IDT-OT,3.32,,0.927,,8.27,,43.4,"(43.4, None)"
1806,PBTTDPP,0.7,,0.68,,2.55,,41.0,"(41.0, None)"
1807,PBTTDPP,0.8,,0.67,,2.79,,43.0,"(43.0, None)"
1808,PBTTTTz,1.38,,0.51,,5.46,,50.0,"(50.0, None)"
1809,PBTTTTz,1.07,,0.62,,3.09,,56.00000000000001,"(56.00000000000001, None)"
1810,PBTTTPD,0.37,,0.83,,1.3,,34.0,"(34.0, None)"
1811,PBTTTPD,0.78,,0.79,,2.64,,37.0,"(37.0, None)"
1812,PBTTDTBTQx,0.2,,0.36,,2.36,,42.0,"(42.0, None)"
1813,PBTTDTBTQx,0.65,,0.43,,3.16,,48.0,"(48.0, None)"
1814,CsPbIBr2,11.05,,1.19,,12.69,,73.31,"(73.31, None)"
1815,ZnO,3.32,,0.57,,10.73,,53.53,"(53.53, None)"
1816,ZnO,3.35,,0.57,,11.19,,52.51,"(52.51, None)"
1817,ZnO,4.11,,0.61,,11.74,,56.91,"(56.91, None)"
1818,ZnO,3.85,,0.6,,11.8,,54.36,"(54.36, None)"
1819,ZnO,3.76,,0.6,,11.82,,52.85,"(52.85, None)"
1820,ZnO,3.69,,0.6,,11.86,,51.86,"(51.86, None)"
1821,ZnO,3.63,,0.6,,12.02,,50.35,"(50.35, None)"
1822,DTS-BTT-S,3.65,,0.84,,9.92,,43.7,"(43.7, None)"
1823,BDTT-BTT-S,2.2,,0.866,,4.07,,62.4,"(62.4, None)"
1824,P3HT:PCBM,1.67,,0.48,,8.33,,42.0,"(42.0, None)"
1825,P3HT:PCBM,3.11,,0.57,,10.3,,53.0,"(53.0, None)"
1826,P3HT:PCBM,1.99,,0.57,,9.53,,36.0,"(36.0, None)"
1827,P3HT:PCBM,0.65,,0.58,,5.68,,20.0,"(20.0, None)"
1828,P3HT:PCBM,0.89,,0.32,,8.27,,34.0,"(34.0, None)"
1829,P3HT:PCBM,0.76,,0.27,,8.36,,34.0,"(34.0, None)"
1830,P3HT:PCBM,0.51,,0.21,,7.41,,33.0,"(33.0, None)"
1831,P3HT:PCBM,3.57,,0.57,,11.0,,56.99999999999999,"(56.99999999999999, None)"
1832,PBDTTPD,3.77,,0.62,,12.41,,70.0,"(70.0, None)"
1833,PBDTTPD,2.98,,0.88,,6.1,,55.00000000000001,"(55.00000000000001, None)"
1834,CdS-BCP,8.36,,0.722,,17.42,,66.44,"(66.44, None)"
1835,CdS-Bphen,7.84,,0.711,,17.23,,64.02,"(64.02, None)"
1836,CdS-Mphen,6.57,,0.681,,16.98,,57.86,"(57.86, None)"
1837,P3HT:PCBM,2.53,,0.605,,8.47,,49.4,"(49.4, None)"
1838,P3HT:PMMA:PCBM,3.84,,0.615,,11.73,,53.2,"(53.2, None)"
1839,TiO2,3.09,,0.65,,7.23,,65.0,"(65.0, None)"
1840,F2,4.84,,0.69,,10.15,,68.0,"(68.0, None)"
1841,F3,5.59,,0.69,,11.29,,71.0,"(71.0, None)"
1842,MAPbI3,17.29,,1.03,,22.23,,75.68,"(75.68, None)"
1843,MAPbI3,18.31,,1.05,,22.75,,76.95,"(76.95, None)"
1844,MAPbI3,19.64,,1.09,,22.92,,78.62,"(78.62, None)"
1845,MAPbI3,18.88,,1.06,,22.83,,78.04,"(78.04, None)"
1846,TiO2@CdS nanorods,0.52,,0.48,,3.62,,30.0,"(30.0, None)"
1847,DPZn-HOQ,3.09,,0.595,,7.81,,66.4,"(66.4, None)"
1848,DPZn-COOH,1.76,,0.602,,4.22,,69.39999999999999,"(69.39999999999999, None)"
1849,PZn-HOQ,2.53,,0.576,,6.48,,67.80000000000001,"(67.80000000000001, None)"
1850,10 μm,1.96,,0.45,,12.06,,36.0,"(36.0, None)"
1851,20 μm,3.45,,0.5,,18.86,,36.0,"(36.0, None)"
1852,40 μm,5.06,,0.54,,22.86,,41.0,"(41.0, None)"
1853,PTB7-Th:BF-TDCI4 (1:1.5),3.49,,0.86,,10.46,,39.95,"(39.95, None)"
1854,CPE,2.41,,0.557,,9.73,,44.4,"(44.4, None)"
1855,ZnO,2.72,,0.585,,8.97,,51.8,"(51.8, None)"
1856,CdS,1.96,,0.513,,7.88,,48.6,"(48.6, None)"
1857,ZnO/CPE,2.99,,0.599,,9.36,,53.3,"(53.3, None)"
1858,CdS/CPE,2.61,,0.594,,8.4,,52.4,"(52.4, None)"
1859,MA0.6FA0.4PbI3,12.11,0.97,0.95,0.03,19.57,0.74,64.79,"(64.79, 6.37)"
1860,a-Si,1.12,,1.28,,2.56,,34.0,"(34.0, None)"
1861,PZT,0.011,,0.62,,0.05,,37.0,"(37.0, None)"
1862,TiO2 nanotube array,3.18,,0.536,,12.44,,47.6,"(47.6, None)"
1863,TiO2 nanotube array,6.53,,0.672,,14.68,,66.2,"(66.2, None)"
1864,PBDB-T:PC71BM:DTCFOIC,10.13,,0.88,,18.46,,63.3,"(63.3, None)"
1865,N/A,9.05,,1.02,,13.72,,67.0,"(67.0, None)"
1866,CdS/CdSe,4.77,,0.51,,18.22,,52.0,"(52.0, None)"
1867,PBDB-TF:IT-4F,13.82,,0.87,,20.16,,78.79,"(78.79, None)"
1868,Fullerene-azothiophene dyad,0.12,,0.64,,2.0,,23.0,"(23.0, None)"
1869,Fullerene-azothiophene dyad,0.21,,0.6,,2.0,,28.000000000000004,"(28.000000000000004, None)"
1870,PBDB-T-2F:IT-4F,12.3,,0.82,,20.5,,73.0,"(73.0, None)"
1871,PTB7-Th:IEICO-4F,10.3,,0.68,,22.69,,67.0,"(67.0, None)"
1872,PBDB-T:ITIC,9.3,,0.88,,15.72,,67.0,"(67.0, None)"
1873,PCDTBT:PC71BM,6.15,,0.95,,11.38,,68.0,"(68.0, None)"
1874,N/A,3.28,,0.692,,13.68,,35.0,"(35.0, None)"
1875,TFRS-52,10.1,,0.86,,16.3,,72.0,"(72.0, None)"
1876,CH3NH3PbI3,18.02,,2.3,,9.84,,79.58,"(79.58, None)"
1877,PTB7-Th:N2200,6.3,,0.79,,13.69,,57.99999999999999,"(57.99999999999999, None)"
1878,PBDB-T:N2200,8.44,,0.86,,14.23,,69.0,"(69.0, None)"
1879,Cl-PBDB-T:N2200,6.01,,0.96,,11.39,,55.00000000000001,"(55.00000000000001, None)"
1880,SM1/PC71BM,4.72,,0.87,,9.85,,55.1,"(55.1, None)"
1881,SM2/PC71BM,1.52,,0.82,,4.27,,43.4,"(43.4, None)"
1882,pCb(T-IDIC)2,1.93,,0.93,,5.36,,39.0,"(39.0, None)"
1883,mCb(T-IDIC)2,2.22,,0.92,,6.48,,37.0,"(37.0, None)"
1884,oCb(T-IDIC)2,3.0,,0.95,,7.4,,43.0,"(43.0, None)"
1885,oCb(T-IDIC)2-4F,5.07,,0.92,,10.27,,54.0,"(54.0, None)"
1886,TiO2 films,2.48,,0.505,,7.39,,66.0,"(66.0, None)"
1887,Pt-SM/PC71BM,5.6,,0.82,,11.9,,57.0,"(57.0, None)"
1888,PM6:Y6:PC71BM,12.1,,0.847,,18.85,,75.79,"(75.79, None)"
1889,PTB7-Th:IEICO-4F,10.14,,0.843,,16.04,,74.99,"(74.99, None)"
1890,PBDT-DTDBPz:PC71BM,4.75,,0.76,,9.67,,64.6,"(64.6, None)"
1891,CH3NH3PbI3,7.0,,1.04,,14.3,,47.0,"(47.0, None)"
1892,CH3NH3PbI3,12.0,,1.05,,16.1,,67.0,"(67.0, None)"
1893,methylammonium lead iodide perovskite,7.0,,0.96,,15.6,,65.0,"(65.0, None)"
1894,TiO2 (anatase phase),6.97,,0.73,,14.83,,65.11,"(65.11, None)"
1895,1.88 eV-QDs,8.01,,1.458,,6.96,,78.9,"(78.9, None)"
1896,1.92 eV-QDs,8.48,,1.482,,7.21,,79.3,"(79.3, None)"
1897,2.16 eV-QDs,8.65,,1.498,,7.25,,79.6,"(79.6, None)"
1898,Per-4T-TPA,0.25,,0.6,,1.4,,28.999999999999996,"(28.999999999999996, None)"
1899,S-SubPc-PDI,4.53,,0.89,,9.18,,55.41,"(55.41, None)"
1900,E-SubPc-PDI,1.78,,0.74,,5.18,,46.45,"(46.45, None)"
1901,PTB7-Th,5.23,,0.96,,11.54,,47.3,"(47.3, None)"
1902,GO,12.3,,0.57,,37.4,,56.99999999999999,"(56.99999999999999, None)"
1903,ENGNP1,5.32,,0.666,,14.26,,56.00000000000001,"(56.00000000000001, None)"
1904,ENGNP2,6.37,,0.685,,15.26,,61.0,"(61.0, None)"
1905,ENGNP3,6.97,,0.702,,15.51,,64.0,"(64.0, None)"
1906,ENGNP4,7.69,,0.719,,16.15,,66.0,"(66.0, None)"
1907,ENGNP5,7.12,,0.71,,15.66,,64.0,"(64.0, None)"
1908,DPPBT:PC71BM,2.44,,0.95,,6.29,,40.0,"(40.0, None)"
1909,DPPTT:PC71BM,4.18,,0.95,,8.28,,51.0,"(51.0, None)"
1910,P1,0.85,,0.85,,2.66,,38.85,"(38.85, None)"
1911,P2,1.13,,0.8,,4.07,,35.33,"(35.33, None)"
1912,P3,1.29,,0.82,,4.37,,38.0,"(38.0, None)"
1913,pCzSe,3.21,,0.79,,5.62,,72.3,"(72.3, None)"
1914,pBDTS,3.24,,0.73,,7.37,,60.3,"(60.3, None)"
1915,pBDTSe,2.55,,0.65,,7.47,,52.6,"(52.6, None)"
1916,MA2PbI4,16.92,,1.06,,21.0,,76.0,"(76.0, None)"
1917,P1-9.6k,0.85,,0.94,,2.0,,45.0,"(45.0, None)"
1918,P1-17.1k,1.25,,0.89,,3.5,,40.0,"(40.0, None)"
1919,P1-32.0k,3.35,,0.92,,7.4,,47.0,"(47.0, None)"
1920,P1-72.9k,4.1,,0.89,,9.9,,45.0,"(45.0, None)"
1921,P1-138.9k,3.8,,0.92,,8.6,,48.0,"(48.0, None)"
1922,w/o MF,22.0,,1.135,,25.8,,75.2,"(75.2, None)"
1923,with MF,23.7,,1.165,,25.8,,78.6,"(78.6, None)"
1924,w/o MF/aged,11.5,,1.01,,16.9,,67.1,"(67.1, None)"
1925,with MF/aged,19.0,,1.115,,24.8,,68.7,"(68.7, None)"
1926,TiO2,2.2,,0.57,,4.69,,78.8,"(78.8, None)"
1927,P1:PC71BM,5.4,,0.83,,10.1,,64.0,"(64.0, None)"
1928,P1:PC71BM,5.5,,0.83,,11.6,,59.0,"(59.0, None)"
1929,P2:PC71BM,7.1,,0.83,,11.9,,70.0,"(70.0, None)"
1930,P3HS-b-P3HT,2.16,,0.6,,5.91,,61.26,"(61.26, None)"
1931,P3HS-s-P3HT,1.76,,0.59,,4.43,,67.2,"(67.2, None)"
1932,P3HS-s-P3HT slow processed,2.67,,0.51,,8.52,,61.17,"(61.17, None)"
1933,PTB7-Th:IEICO-4F,10.55,,0.74,,22.64,,63.0,"(63.0, None)"
1934,INIC-2F,19.3,,1.01,,23.1,,82.7,"(82.7, None)"
1935,INIC-1F,18.8,,1.01,,22.8,,81.5,"(81.5, None)"
1936,INIC,17.4,,1.0,,22.4,,77.6,"(77.6, None)"
1937,Control,16.6,,1.0,,21.4,,77.3,"(77.3, None)"
1938,CdSe,2.51,,0.42,,14.55,,41.0,"(41.0, None)"
1939,L1,20.2,,1.09,,24.91,,74.33,"(74.33, None)"
1940,L2,21.05,,1.11,,24.93,,76.3,"(76.3, None)"
1941,L3,21.9,,1.12,,24.75,,78.7,"(78.7, None)"
1942,a-Si:H,9.0,,0.8,,15.0,,60.0,"(60.0, None)"
1943,CdS/CdSe,3.47,,0.534,,11.1,,60.099999999999994,"(60.099999999999994, None)"
1944,PbS CQD-ink films (OH-rich),11.38,,0.616,,27.57,,67.0,"(67.0, None)"
1945,PbS CQD-ink films (OH-poor),12.35,,0.678,,27.27,,66.79,"(66.79, None)"
1946,TiO2,0.23,,0.219,,0.113,,27.0,"(27.0, None)"
1947,TiO2,0.29,,0.357,,0.142,,28.999999999999996,"(28.999999999999996, None)"
1948,CsPbI2.69Br0.31,9.58,,1.07,,12.98,,66.0,"(66.0, None)"
1949,TiO2,16.8,,1.08,,20.0,,78.0,"(78.0, None)"
1950,TiO2,17.3,,1.09,,20.1,,79.0,"(79.0, None)"
1951,ZnO,17.5,,1.13,,20.1,,77.0,"(77.0, None)"
